album_name,artist_name,album_link,avg_rating,num_ratings
Random Access Memories,Daft Punk,https://www.discogs.com/release/4570366-Daft-Punk-Random-Access-Memories,4.61,8576
"Good Kid, M.A.A.D City",Kendrick Lamar,https://www.discogs.com/release/3975953-Kendrick-Lamar-Good-Kid-MAAD-City,4.69,5093
The Dark Side Of The Moon,Pink Floyd,https://www.discogs.com/release/9287809-Pink-Floyd-The-Dark-Side-Of-The-Moon,4.81,7269
Reputation,Taylor Swift,https://www.discogs.com/release/11256175-Taylor-Swift-Reputation,4.74,4356
Nevermind,Nirvana,https://www.discogs.com/release/7097051-Nirvana-Nevermind,4.64,4961
Igor,"Tyler, The Creator",https://www.discogs.com/release/14215683-TylerCreator-Igor,4.63,5071
Thriller,Michael Jackson,https://www.discogs.com/release/2911293-Michael-Jackson-Thriller,4.52,3946
Rumours,Fleetwood Mac,https://www.discogs.com/release/526351-Fleetwood-Mac-Rumours,4.53,4349
Born In The U.S.A.,Bruce Springsteen,https://www.discogs.com/release/1343227-Bruce-Springsteen-Born-In-The-USA,4.18,2848
AM,Arctic Monkeys,https://www.discogs.com/release/4904158-Arctic-Monkeys-AM,4.45,3588
Lover,Taylor Swift,https://www.discogs.com/release/14401235-Taylor-Swift-Lover,4.53,2049
The Dark Side Of The Moon,Pink Floyd,https://www.discogs.com/release/367104-Pink-Floyd-The-Dark-Side-Of-The-Moon,4.65,4504
Thriller,Michael Jackson,https://www.discogs.com/release/152946-Michael-Jackson-Thriller,4.47,3807
Mezzanine,Massive Attack,https://www.discogs.com/release/5077187-Massive-Attack-Mezzanine,4.72,4151
AM,Arctic Monkeys,https://www.discogs.com/release/4883505-Arctic-Monkeys-AM,4.49,3326
(What's The Story) Morning Glory?,Oasis (2),https://www.discogs.com/release/6127871-Oasis-Whats-The-Story-Morning-Glory,4.63,3164
Midnights,Taylor Swift,https://www.discogs.com/release/24890252-Taylor-Swift-Midnights,4.69,2253
Harvest,Neil Young,https://www.discogs.com/release/1044287-Neil-Young-Harvest,4.44,2792
The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,David Bowie,https://www.discogs.com/release/8162188-David-Bowie-The-Rise-And-Fall-Of-Ziggy-Stardust-And-The-Spiders-From-Mars,4.72,3797
Purple Rain,Prince And The Revolution,https://www.discogs.com/release/194021-Prince-And-The-Revolution-Purple-Rain,4.47,3132
The Queen Is Dead,The Smiths,https://www.discogs.com/release/3564656-The-Smiths-The-Queen-Is-Dead,4.63,2851
Red (Taylor's Version),Taylor Swift,https://www.discogs.com/release/20939464-Taylor-Swift-Red-Taylors-Version,4.64,2093
Folklore,Taylor Swift,https://www.discogs.com/release/16190187-Taylor-Swift-Folklore,4.76,2772
